[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物,全,書,機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san1,dung6-mat6,#,syut4,#,jat1,seng1,zau6,ceot1,zo2,lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,animal,#,(sound),#,one,sound,then,out,-en,come,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 36],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢,隻,叫,『,懶猴,』,，,因為,佢,嘅,眼仔,可以,入藥,，,所以,啲人,係噉,捉,佢哋,，,捉,到,最後,一,隻,喺,一百,年,前,死,咗,……,」,阿寶,講,到,有啲,唔,開心,。,,,,,,,,,,,,,,
#,nei1,zek3,giu3,#,laan5-hau4,#,#,jan1-wai6,keoi5,ge3,ngaan5-zai2,ho2-ji5,jap6-joek6,#,so2-ji5,di1-jan4,hai6-gam2,zuk1,keoi5-dei6,#,zuk1,dou3,zeoi3-hau6,jat1,zek3,hai2,jat1-baak3,nin4,cin4,sei2,zo2,#,#,aa3-bou2,gong2,dou3,jau5-di1,m4,hoi1-sam1,#,,,,,,,,,,,,,,
#,this,(measure),is called,#,Sunda slow loris,#,#,because,it,’s,little eye,can,become medicine,#,therefore,those people,keep on,catch,them,#,catch,to,last,one,(measure),at,one hundred,year,before,die,-en,#,#,Ah-Bo,say,to,a bit,not,happy,#,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界,各地,每,分,每,秒,都,有,動物,瀕臨,絕種,，,唔想,啲,咁,可愛,嘅,動物,消失,，,你哋,會,做,啲,咩,嚟,保護,佢哋,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,
sai3-gaai3,gok3-dei6,mui5,fan1,mui5,miu5,dou1,jau5,dung6-mat6,pan4-lam4,zyut6-zung2,#,m4-soeng2,di1,gam3,ho2-oi3,ge3,dung6-mat6,siu1-sat1,#,nei5-dei6,wui5,zou6,di1,me1,lei4,bou2-wu6,keoi5-dei6,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,
world,everywhere,every,minute,every,second,also,have,animal,close to,extinction,#,don't want,some,so,cute,(linker),animal,disappear,#,you (plural),will,do,some,what,to,protect,them,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,
